heart_rate,rmssd,sdnn,emotion
83,27,66,NORMAL
63,43,82,CALM
83,36,45,NORMAL
104,22,45,STRESSED
103,29,43,STRESSED
117,21,13,ANXIOUS
106,5,26,ANXIOUS
91,30,16,STRESSED
50,58,71,CALM
117,8,10,ANXIOUS
73,51,51,NORMAL
88,34,33,STRESSED
78,41,35,NORMAL
73,69,35,NORMAL
106,8,13,ANXIOUS
95,32,35,STRESSED
88,25,37,NORMAL
65,59,80,CALM
75,63,52,CALM
89,18,14,ANXIOUS
107,11,18,ANXIOUS
66,66,89,CALM
69,48,49,NORMAL
111,17,26,ANXIOUS
52,50,68,CALM
77,42,81,NORMAL
102,22,33,ANXIOUS
71,44,27,NORMAL
69,66,54,CALM
104,10,20,ANXIOUS
121,22,35,ANXIOUS
86,39,25,NORMAL
91,30,32,STRESSED
77,17,24,STRESSED
83,8,26,STRESSED
75,36,68,NORMAL
75,70,61,CALM
94,7,27,STRESSED
101,21,23,STRESSED
100,21,19,STRESSED
61,59,56,CALM
98,22,23,STRESSED
80,36,40,NORMAL
98,17,47,STRESSED
75,28,67,NORMAL
73,44,16,NORMAL
113,15,27,ANXIOUS
68,44,49,NORMAL
106,17,32,ANXIOUS
98,10,10,ANXIOUS
102,18,28,ANXIOUS
88,34,60,NORMAL
116,15,17,ANXIOUS
102,11,10,ANXIOUS
82,65,83,CALM
99,24,28,STRESSED
102,34,20,STRESSED
62,68,84,CALM
58,56,92,CALM
55,64,63,CALM
81,41,75,NORMAL
99,26,28,STRESSED
109,9,10,ANXIOUS
85,43,10,NORMAL
119,12,15,ANXIOUS
68,45,50,NORMAL
115,19,24,ANXIOUS
93,28,10,STRESSED
93,16,31,ANXIOUS
90,23,32,STRESSED
84,44,68,NORMAL
56,48,43,CALM
71,65,95,CALM
94,38,20,NORMAL
52,59,74,CALM
98,21,21,STRESSED
100,28,41,STRESSED
78,30,47,NORMAL
88,26,37,STRESSED
78,7,35,STRESSED
107,15,25,ANXIOUS
66,37,34,STRESSED
92,48,33,NORMAL
63,43,10,NORMAL
68,68,77,CALM
105,42,29,NORMAL
81,64,45,CALM
66,60,48,CALM
69,55,74,CALM
108,20,20,ANXIOUS
72,61,33,CALM
94,53,80,NORMAL
80,11,20,STRESSED
86,26,51,NORMAL
120,9,15,ANXIOUS
107,14,10,ANXIOUS
82,15,43,STRESSED
72,72,53,CALM
72,30,47,NORMAL
55,59,73,CALM
105,33,15,STRESSED
106,19,18,ANXIOUS
112,18,36,ANXIOUS
68,25,53,NORMAL
97,46,40,NORMAL
114,5,10,ANXIOUS
120,19,23,ANXIOUS
52,61,76,CALM
89,39,33,STRESSED
60,43,66,NORMAL
113,18,29,ANXIOUS
85,42,35,NORMAL
105,10,25,STRESSED
96,18,11,ANXIOUS
59,59,78,CALM
96,22,41,STRESSED
81,51,62,NORMAL
70,54,76,NORMAL
93,15,22,ANXIOUS
67,32,48,NORMAL
88,56,31,NORMAL
104,21,18,ANXIOUS
74,27,43,NORMAL
85,23,35,NORMAL
110,38,28,STRESSED
58,64,64,CALM
50,52,62,CALM
106,34,27,STRESSED
74,64,74,CALM
115,8,29,ANXIOUS
80,43,46,NORMAL
84,43,54,NORMAL
100,17,17,ANXIOUS
116,11,22,ANXIOUS
72,33,34,NORMAL
60,33,21,NORMAL
87,39,69,NORMAL
58,55,59,CALM
128,13,24,ANXIOUS
83,65,58,CALM
120,12,12,ANXIOUS
113,7,16,ANXIOUS
99,7,20,ANXIOUS
89,23,29,STRESSED
59,69,63,CALM
72,74,69,CALM
69,59,55,NORMAL
89,33,16,STRESSED
95,22,25,STRESSED
110,15,14,ANXIOUS
74,33,76,CALM
120,9,21,ANXIOUS
74,53,74,CALM
96,7,10,ANXIOUS
66,65,70,CALM
89,28,16,STRESSED
92,42,63,NORMAL
90,7,14,ANXIOUS
113,11,19,ANXIOUS
88,41,21,STRESSED
74,61,50,CALM
68,53,57,CALM
90,34,43,STRESSED
82,35,28,STRESSED
98,29,35,STRESSED
78,81,41,CALM
83,42,45,NORMAL
100,33,36,STRESSED
77,51,74,CALM
107,9,29,STRESSED
97,39,52,NORMAL
91,31,34,NORMAL
103,19,27,ANXIOUS
66,46,31,NORMAL
103,19,42,STRESSED
93,17,39,STRESSED
106,21,10,ANXIOUS
52,58,71,CALM
81,37,55,NORMAL
112,25,11,ANXIOUS
78,71,55,CALM
97,26,28,STRESSED
103,37,25,STRESSED
65,34,41,NORMAL
85,21,44,STRESSED
93,16,23,STRESSED
73,26,36,NORMAL
114,17,11,ANXIOUS
99,17,22,ANXIOUS
92,24,26,STRESSED
112,23,28,ANXIOUS
102,9,29,ANXIOUS
100,14,21,STRESSED
107,21,29,STRESSED
51,47,72,CALM
57,63,27,CALM
73,63,67,CALM
75,37,60,NORMAL
67,49,46,CALM
79,51,60,CALM
58,54,71,CALM
97,37,23,STRESSED
96,9,41,STRESSED
82,47,78,CALM
108,21,10,ANXIOUS
106,15,16,ANXIOUS
104,13,14,ANXIOUS
69,80,55,CALM
76,35,48,NORMAL
69,45,47,NORMAL
106,16,25,STRESSED
112,43,45,STRESSED
79,37,59,NORMAL
75,65,69,CALM
89,28,54,NORMAL
104,17,23,STRESSED
69,70,86,CALM
62,59,35,CALM
67,57,66,CALM
96,13,10,ANXIOUS
87,27,54,NORMAL
83,51,50,NORMAL
69,56,64,CALM
97,33,22,STRESSED
101,35,30,STRESSED
95,11,16,ANXIOUS
88,48,56,NORMAL
88,27,32,STRESSED
69,43,46,NORMAL
80,37,86,CALM
83,41,59,NORMAL
71,39,60,NORMAL
102,14,18,ANXIOUS
66,69,77,CALM
114,14,25,ANXIOUS
72,67,64,CALM
109,12,10,ANXIOUS
113,19,22,ANXIOUS
99,21,44,STRESSED
64,52,81,CALM
56,57,72,CALM
102,18,23,ANXIOUS
78,51,49,CALM
106,5,14,ANXIOUS
91,29,26,NORMAL
95,18,24,ANXIOUS
64,62,67,CALM
78,57,34,NORMAL
68,37,34,NORMAL
109,20,16,ANXIOUS
79,37,50,NORMAL
72,46,61,CALM
101,19,22,STRESSED
61,63,59,NORMAL
83,47,58,NORMAL
75,47,51,NORMAL
117,19,23,ANXIOUS
69,58,75,CALM
54,67,52,CALM
85,53,67,NORMAL
101,38,36,STRESSED
103,24,26,STRESSED
79,36,62,NORMAL
72,24,43,NORMAL
64,56,72,CALM
76,41,50,NORMAL
103,18,31,ANXIOUS
78,30,27,STRESSED
93,40,77,NORMAL
81,36,52,NORMAL
104,17,16,ANXIOUS
100,10,25,ANXIOUS
97,20,16,ANXIOUS
74,38,69,NORMAL
94,32,36,STRESSED
68,66,80,CALM
119,19,10,ANXIOUS
110,22,39,STRESSED
93,19,15,ANXIOUS
113,17,31,ANXIOUS
83,67,40,CALM
104,18,10,ANXIOUS
109,13,20,ANXIOUS
101,6,22,ANXIOUS
105,52,49,NORMAL
86,36,43,STRESSED
99,13,22,STRESSED
74,57,47,CALM
110,8,27,ANXIOUS
89,24,32,STRESSED
83,40,58,NORMAL
91,24,64,NORMAL
112,5,12,ANXIOUS
50,64,45,CALM
112,17,18,ANXIOUS
74,48,59,CALM
99,41,23,STRESSED
108,5,16,ANXIOUS
82,39,28,NORMAL
92,18,56,STRESSED
91,19,29,STRESSED
100,15,12,ANXIOUS
115,6,24,STRESSED
78,21,46,STRESSED
81,45,24,STRESSED
122,21,21,ANXIOUS
107,18,22,ANXIOUS
78,31,14,NORMAL
90,35,42,STRESSED
97,27,30,STRESSED
61,57,70,CALM
68,71,90,CALM
122,20,36,ANXIOUS
113,13,29,ANXIOUS
106,9,39,STRESSED
90,27,34,STRESSED
77,28,65,NORMAL
118,6,17,ANXIOUS
73,26,46,NORMAL
56,42,46,NORMAL
62,61,50,CALM
95,18,10,ANXIOUS
68,31,34,NORMAL
59,47,84,CALM
74,33,32,NORMAL
65,60,82,CALM
107,17,19,ANXIOUS
105,14,34,ANXIOUS
72,50,42,NORMAL
63,53,74,CALM
101,54,44,NORMAL
100,22,27,ANXIOUS
111,13,15,ANXIOUS
101,23,23,STRESSED
94,40,22,STRESSED
113,20,32,STRESSED
68,24,20,NORMAL
56,72,63,CALM
66,73,72,CALM
59,57,100,CALM
74,30,66,NORMAL
57,62,65,CALM
99,12,31,STRESSED
69,63,65,CALM
91,19,27,STRESSED
65,58,70,CALM
95,5,17,STRESSED
61,45,72,CALM
53,60,66,CALM
69,51,40,NORMAL
58,46,70,CALM
82,50,60,NORMAL
93,14,14,ANXIOUS
86,20,31,STRESSED
106,16,22,ANXIOUS
82,46,54,NORMAL
114,16,16,ANXIOUS
102,23,20,STRESSED
108,26,45,STRESSED
113,20,37,STRESSED
99,31,54,STRESSED
96,47,43,NORMAL
93,36,62,NORMAL
104,18,16,ANXIOUS
102,5,30,ANXIOUS
55,49,85,CALM
130,13,10,ANXIOUS
93,28,26,STRESSED
59,60,34,CALM
62,50,65,CALM
63,68,59,CALM
65,49,54,CALM
112,19,20,ANXIOUS
83,66,84,CALM
102,19,35,STRESSED
98,20,27,ANXIOUS
102,30,34,STRESSED
99,20,24,ANXIOUS
95,40,34,STRESSED
64,71,42,CALM
98,12,22,ANXIOUS
66,45,55,CALM
97,21,34,STRESSED
97,8,17,ANXIOUS
127,20,11,ANXIOUS
91,36,18,STRESSED
88,29,42,NORMAL
117,16,15,ANXIOUS
66,58,45,CALM
99,15,46,STRESSED
85,20,24,STRESSED
96,20,42,NORMAL
107,13,26,ANXIOUS
74,39,62,NORMAL
105,27,31,STRESSED
68,50,108,CALM
95,15,26,STRESSED
80,36,51,NORMAL
116,13,13,ANXIOUS
100,31,43,NORMAL
62,30,66,NORMAL
72,38,43,NORMAL
77,37,45,NORMAL
109,22,19,ANXIOUS
99,12,15,ANXIOUS
86,22,32,NORMAL
59,66,73,CALM
73,46,50,NORMAL
63,37,108,CALM
60,72,60,CALM
86,16,34,STRESSED
98,30,34,STRESSED
68,41,46,NORMAL
64,55,90,CALM
77,27,28,STRESSED
66,66,96,CALM
93,23,37,STRESSED
117,15,10,ANXIOUS
62,58,76,CALM
81,44,27,NORMAL
69,65,74,CALM
51,61,77,CALM
123,5,17,ANXIOUS
81,26,39,STRESSED
80,44,54,NORMAL
55,68,96,CALM
118,23,20,STRESSED
97,30,20,ANXIOUS
63,49,57,CALM
74,77,79,CALM
130,16,28,ANXIOUS
57,57,74,CALM
90,35,39,NORMAL
74,51,65,CALM
129,15,15,ANXIOUS
104,34,30,STRESSED
90,19,33,STRESSED
61,51,97,CALM
90,50,59,NORMAL
76,52,48,NORMAL
73,49,44,NORMAL
64,35,70,NORMAL
70,49,40,NORMAL
87,28,90,NORMAL
66,88,62,CALM
107,24,12,STRESSED
84,23,27,STRESSED
124,5,20,ANXIOUS
66,40,66,CALM
78,44,54,NORMAL
95,19,28,ANXIOUS
120,13,10,ANXIOUS
118,23,24,ANXIOUS
86,39,78,NORMAL
111,16,15,ANXIOUS
112,12,11,ANXIOUS
89,56,34,NORMAL
105,17,25,ANXIOUS
93,27,29,STRESSED
84,26,17,STRESSED
78,18,40,STRESSED
59,77,62,CALM
90,30,65,NORMAL
105,10,35,ANXIOUS
84,40,74,NORMAL
67,54,65,CALM
112,12,21,ANXIOUS
116,23,14,ANXIOUS
71,73,64,CALM
111,14,21,ANXIOUS
60,35,38,NORMAL
85,35,69,NORMAL
102,10,16,ANXIOUS
73,63,76,CALM
69,36,60,NORMAL
111,13,20,ANXIOUS
83,41,67,NORMAL
81,48,65,NORMAL
103,13,21,ANXIOUS
106,45,72,NORMAL
99,13,10,ANXIOUS
91,49,54,NORMAL
84,37,53,NORMAL
61,56,64,CALM
88,41,62,NORMAL
76,42,64,NORMAL
87,56,31,NORMAL
113,5,10,ANXIOUS
108,8,21,ANXIOUS
92,42,42,NORMAL
79,38,35,NORMAL
111,14,27,ANXIOUS
99,8,17,ANXIOUS
88,17,26,STRESSED
73,53,77,CALM
89,22,42,STRESSED
103,13,11,ANXIOUS
98,53,18,NORMAL
114,12,24,ANXIOUS
89,23,28,STRESSED
80,14,25,STRESSED
95,15,37,STRESSED
96,19,32,STRESSED
93,36,17,STRESSED
73,53,74,CALM
102,35,27,STRESSED
83,19,38,STRESSED
56,51,65,CALM
100,5,34,STRESSED
53,67,76,CALM
63,35,54,NORMAL
114,14,10,ANXIOUS
98,14,34,STRESSED
76,31,28,STRESSED
103,14,24,ANXIOUS
101,21,13,ANXIOUS
70,28,28,STRESSED
88,30,21,NORMAL
109,10,14,ANXIOUS
80,51,67,NORMAL
59,59,64,CALM
66,62,78,CALM
130,16,10,ANXIOUS
95,39,68,NORMAL
74,60,36,CALM
101,22,49,STRESSED
103,16,12,ANXIOUS
81,18,48,STRESSED
98,11,17,ANXIOUS
72,26,61,NORMAL
58,39,78,CALM
71,51,78,CALM
98,13,16,ANXIOUS
60,58,80,CALM
51,66,58,CALM
69,77,82,CALM
75,49,73,NORMAL
84,46,41,NORMAL
74,54,29,NORMAL
93,24,20,STRESSED
75,65,54,CALM
81,33,36,NORMAL
93,34,21,STRESSED
66,45,63,CALM
98,44,43,STRESSED
87,46,59,NORMAL
77,28,34,STRESSED
71,43,61,CALM
109,17,23,ANXIOUS
59,67,51,CALM
128,17,20,ANXIOUS
106,19,26,STRESSED
84,33,46,NORMAL
71,67,70,CALM
94,43,36,NORMAL
101,8,24,STRESSED
88,22,29,STRESSED
74,18,59,NORMAL
77,33,39,NORMAL
101,14,11,ANXIOUS
86,23,18,STRESSED
104,30,19,STRESSED
117,9,25,ANXIOUS
122,25,18,ANXIOUS
91,20,47,STRESSED
97,11,23,ANXIOUS
62,56,40,CALM
92,27,24,STRESSED
89,47,58,NORMAL
112,14,26,ANXIOUS
57,49,39,CALM
114,19,18,ANXIOUS
81,29,25,NORMAL
71,36,49,NORMAL
100,17,39,STRESSED
104,15,30,ANXIOUS
120,18,17,ANXIOUS
86,40,63,NORMAL
74,56,69,CALM
88,20,10,ANXIOUS
123,5,23,ANXIOUS
66,68,71,CALM
61,50,62,CALM
68,53,72,CALM
88,18,28,STRESSED
79,64,75,CALM
110,29,36,STRESSED
86,33,56,NORMAL
67,69,10,NORMAL
74,37,34,NORMAL
107,22,18,ANXIOUS
129,15,20,ANXIOUS
92,28,10,STRESSED
119,10,29,ANXIOUS
84,30,34,NORMAL
84,22,22,STRESSED
112,20,17,ANXIOUS
119,14,31,ANXIOUS
67,62,81,CALM
102,18,23,STRESSED
76,52,62,CALM
69,56,93,CALM
68,65,34,CALM
85,15,28,STRESSED
125,18,10,ANXIOUS
75,53,36,NORMAL
95,16,35,STRESSED
65,77,74,CALM
74,38,96,CALM
54,76,84,CALM
77,16,30,STRESSED
91,25,14,STRESSED
109,20,10,ANXIOUS
85,47,49,NORMAL
73,39,50,NORMAL
100,13,19,STRESSED
94,36,22,STRESSED
80,33,44,NORMAL
83,42,43,NORMAL
66,65,69,CALM
100,21,22,ANXIOUS
88,9,48,STRESSED
102,5,23,ANXIOUS
93,5,48,STRESSED
69,41,62,CALM
111,10,31,STRESSED
90,37,37,NORMAL
98,25,27,STRESSED
84,32,31,STRESSED
86,18,59,NORMAL
77,73,64,CALM
85,27,33,STRESSED
115,15,30,ANXIOUS
119,13,29,ANXIOUS
116,16,20,ANXIOUS
58,59,64,CALM
118,19,17,ANXIOUS
96,12,26,STRESSED
99,30,16,STRESSED
106,24,51,STRESSED
91,41,43,NORMAL
75,35,65,NORMAL
55,57,84,CALM
62,61,70,CALM
91,11,29,STRESSED
92,63,59,NORMAL
86,21,23,STRESSED
114,16,28,ANXIOUS
115,20,37,STRESSED
82,16,17,STRESSED
103,15,14,ANXIOUS
69,50,78,CALM
113,26,13,ANXIOUS
73,50,73,NORMAL
53,40,76,CALM
90,18,21,STRESSED
72,52,54,NORMAL
74,26,35,STRESSED
108,15,24,ANXIOUS
62,57,71,CALM
64,51,64,CALM
109,5,27,ANXIOUS
80,32,42,NORMAL
124,19,21,ANXIOUS
65,26,25,NORMAL
113,19,43,STRESSED
84,37,24,NORMAL
91,8,20,ANXIOUS
111,15,38,STRESSED
93,28,21,STRESSED
58,40,58,CALM
104,8,13,ANXIOUS
122,8,28,ANXIOUS
95,49,31,NORMAL
105,17,16,ANXIOUS
102,34,73,NORMAL
108,18,40,STRESSED
101,22,31,STRESSED
101,15,10,ANXIOUS
63,52,71,CALM
79,40,41,NORMAL
88,41,24,NORMAL
128,12,16,ANXIOUS
96,43,47,NORMAL
105,7,13,ANXIOUS
50,66,63,CALM
125,10,25,ANXIOUS
89,39,38,NORMAL
89,33,29,STRESSED
89,17,41,STRESSED
73,22,28,NORMAL
89,22,25,ANXIOUS
53,63,49,CALM
99,22,17,ANXIOUS
84,12,45,NORMAL
95,26,21,STRESSED
106,16,10,ANXIOUS
83,84,76,CALM
90,22,50,STRESSED
99,19,33,ANXIOUS
70,54,71,NORMAL
66,55,22,NORMAL
67,43,46,NORMAL
122,21,19,ANXIOUS
57,60,73,CALM
108,27,49,STRESSED
104,5,19,ANXIOUS
82,31,62,NORMAL
71,58,42,NORMAL
64,71,60,CALM
68,49,46,CALM
118,20,14,ANXIOUS
81,12,26,STRESSED
88,7,13,ANXIOUS
119,21,21,ANXIOUS
50,47,58,CALM
74,17,40,STRESSED
112,13,29,ANXIOUS
60,61,54,CALM
74,45,68,NORMAL
106,33,22,STRESSED
92,37,49,NORMAL
69,76,62,CALM
66,66,54,CALM
80,26,30,STRESSED
124,19,23,ANXIOUS
100,21,53,STRESSED
99,15,16,ANXIOUS
107,6,10,ANXIOUS
104,26,33,STRESSED
65,68,59,CALM
68,59,70,CALM
108,28,20,STRESSED
112,23,26,ANXIOUS
76,41,61,NORMAL
117,10,16,ANXIOUS
112,19,23,ANXIOUS
103,12,16,ANXIOUS
82,32,46,NORMAL
121,26,26,ANXIOUS
70,37,64,NORMAL
66,32,43,NORMAL
70,41,29,NORMAL
55,77,48,CALM
104,7,20,ANXIOUS
110,24,17,ANXIOUS
104,9,12,ANXIOUS
65,69,65,CALM
105,31,31,STRESSED
54,76,53,CALM
117,23,21,ANXIOUS
73,12,47,NORMAL
99,37,61,STRESSED
110,15,19,ANXIOUS
67,52,88,CALM
90,25,34,STRESSED
66,66,82,CALM
93,19,10,ANXIOUS
91,21,28,STRESSED
70,70,63,CALM
85,21,35,NORMAL
115,14,32,ANXIOUS
80,43,46,NORMAL
67,49,71,CALM
85,20,31,STRESSED
99,10,25,ANXIOUS
109,15,19,ANXIOUS
82,31,42,NORMAL
79,31,47,NORMAL
90,29,59,NORMAL
91,20,33,STRESSED
54,56,86,CALM
58,74,78,CALM
124,15,13,ANXIOUS
53,64,90,CALM
100,21,21,STRESSED
66,72,91,CALM
50,53,85,CALM
68,51,65,NORMAL
104,13,13,ANXIOUS
71,52,39,CALM
73,32,75,NORMAL
110,26,10,ANXIOUS
82,46,42,NORMAL
54,61,79,CALM
102,10,23,ANXIOUS
60,66,91,CALM
74,52,68,CALM
71,47,38,NORMAL
96,19,21,STRESSED
99,11,10,STRESSED
101,27,32,STRESSED
56,64,74,CALM
108,21,15,ANXIOUS
71,47,54,CALM
50,55,90,CALM
89,16,24,STRESSED
96,22,34,STRESSED
70,35,54,NORMAL
62,58,60,NORMAL
117,20,33,ANXIOUS
112,34,45,STRESSED
70,48,71,CALM
110,16,23,ANXIOUS
110,11,24,ANXIOUS
90,11,25,ANXIOUS
64,59,64,CALM
63,31,42,NORMAL
85,37,75,NORMAL
89,19,28,STRESSED
130,24,39,ANXIOUS
66,63,68,CALM
95,23,25,STRESSED
57,57,84,CALM
108,17,32,STRESSED
96,43,45,NORMAL
116,22,21,ANXIOUS
113,13,15,ANXIOUS
66,78,92,CALM
130,21,29,ANXIOUS
118,9,14,ANXIOUS
80,23,31,NORMAL
64,60,76,CALM
120,18,13,ANXIOUS
112,5,12,ANXIOUS
79,39,49,NORMAL
75,22,33,STRESSED
61,46,50,CALM
82,32,31,STRESSED
98,45,50,NORMAL
77,64,89,CALM
86,37,29,NORMAL
92,30,28,STRESSED
85,47,41,NORMAL
102,8,11,ANXIOUS
78,54,27,NORMAL
57,37,61,NORMAL
74,37,44,NORMAL
109,24,16,ANXIOUS
78,25,43,STRESSED
86,46,54,NORMAL
65,38,18,NORMAL
109,21,22,STRESSED
83,26,28,STRESSED
96,27,24,STRESSED
55,51,57,CALM
56,68,59,CALM
69,80,83,CALM
64,57,68,CALM
129,25,20,ANXIOUS
116,15,33,ANXIOUS
111,14,25,ANXIOUS
65,65,60,CALM
96,37,59,NORMAL
76,33,45,NORMAL
102,13,35,STRESSED
74,50,57,CALM
81,26,68,NORMAL
70,58,57,NORMAL
77,52,48,NORMAL
92,49,60,NORMAL
119,17,20,ANXIOUS
108,11,22,ANXIOUS
77,21,15,STRESSED
64,58,57,CALM
94,11,10,ANXIOUS
63,30,32,NORMAL
130,13,19,ANXIOUS
98,25,29,STRESSED
112,26,22,STRESSED
99,19,22,ANXIOUS
61,44,32,NORMAL
117,16,17,ANXIOUS
78,52,65,NORMAL
100,19,22,STRESSED
77,37,59,NORMAL
94,38,13,STRESSED
106,15,12,ANXIOUS
117,15,33,ANXIOUS
99,19,20,STRESSED
69,51,52,NORMAL
113,14,19,ANXIOUS
70,30,42,NORMAL
130,17,10,ANXIOUS
77,32,40,STRESSED
53,33,45,CALM
114,13,30,ANXIOUS
93,35,15,STRESSED
109,26,22,STRESSED
91,20,51,STRESSED
83,30,29,STRESSED
56,45,31,NORMAL
94,26,30,STRESSED
65,57,63,CALM
81,40,68,NORMAL
114,20,17,ANXIOUS
101,5,27,STRESSED
54,42,60,CALM
63,52,64,CALM
61,57,62,CALM
81,27,20,STRESSED
119,15,22,ANXIOUS
101,16,28,ANXIOUS
64,54,73,CALM
125,5,33,ANXIOUS
75,76,72,CALM
58,50,47,CALM
112,16,16,ANXIOUS
68,53,63,CALM
57,57,93,CALM
60,61,62,CALM
95,11,10,ANXIOUS
85,43,39,NORMAL
109,13,14,ANXIOUS
56,64,96,CALM
81,49,71,NORMAL
111,14,29,ANXIOUS
78,29,53,NORMAL
63,60,68,CALM
121,17,12,ANXIOUS
56,44,78,CALM
104,22,31,ANXIOUS
113,21,21,ANXIOUS
67,72,82,CALM
71,49,41,CALM
78,42,48,NORMAL
106,22,21,ANXIOUS
117,12,14,ANXIOUS
65,49,81,CALM
71,48,80,CALM
85,20,32,STRESSED
110,15,12,ANXIOUS
93,15,23,STRESSED
104,16,29,STRESSED
106,15,30,STRESSED
93,38,53,NORMAL
106,34,29,STRESSED
108,23,33,STRESSED
95,34,57,NORMAL
88,37,48,NORMAL
83,11,13,STRESSED
65,69,97,CALM
53,64,78,CALM
77,33,66,NORMAL
50,58,72,CALM
71,37,49,NORMAL
104,22,13,ANXIOUS
60,43,41,NORMAL
60,53,58,CALM
91,31,15,STRESSED
68,48,56,CALM
74,65,65,CALM
79,46,44,NORMAL
109,15,17,ANXIOUS
58,58,68,CALM
83,17,40,NORMAL
91,35,47,NORMAL
73,65,75,CALM
102,36,75,NORMAL
76,39,80,NORMAL
85,55,45,NORMAL
88,39,29,NORMAL
79,23,28,STRESSED
127,17,20,ANXIOUS
97,28,21,STRESSED
100,27,42,NORMAL
107,10,20,ANXIOUS
77,18,20,ANXIOUS
91,13,10,ANXIOUS
67,72,70,CALM
92,25,26,STRESSED
107,5,18,STRESSED
110,8,18,ANXIOUS
94,22,12,STRESSED
57,51,63,CALM
91,48,39,NORMAL
71,31,79,NORMAL
56,70,76,CALM
77,45,67,NORMAL
63,45,53,CALM
130,10,26,ANXIOUS
58,67,75,CALM
87,17,68,NORMAL
70,61,85,CALM
81,24,42,NORMAL
114,32,29,ANXIOUS
110,16,16,ANXIOUS
99,18,10,ANXIOUS
73,57,67,CALM
72,41,36,NORMAL
79,65,69,CALM
85,9,20,STRESSED
99,21,10,ANXIOUS
93,29,58,NORMAL
71,50,48,NORMAL
101,33,36,STRESSED
104,31,32,STRESSED
109,7,21,ANXIOUS
62,69,85,CALM
67,62,73,CALM
106,7,36,ANXIOUS
103,5,38,ANXIOUS
83,55,49,NORMAL
93,45,61,NORMAL
86,25,37,STRESSED
84,45,51,NORMAL
111,11,32,ANXIOUS
116,35,23,STRESSED
98,43,23,NORMAL
88,10,21,ANXIOUS
76,38,99,CALM
82,29,55,NORMAL
87,34,71,NORMAL
105,16,29,STRESSED
83,36,19,STRESSED
117,16,26,ANXIOUS
117,26,25,STRESSED
103,16,25,ANXIOUS
72,48,69,CALM
121,18,19,ANXIOUS
107,8,19,ANXIOUS
80,46,61,NORMAL
128,15,17,ANXIOUS
88,19,35,STRESSED
99,39,17,STRESSED
98,26,33,STRESSED
67,57,59,CALM
73,47,41,NORMAL
94,23,58,STRESSED
88,29,34,STRESSED
54,48,56,CALM
74,41,71,NORMAL
100,8,10,ANXIOUS
115,14,17,ANXIOUS
84,47,57,NORMAL
74,58,65,CALM
92,9,10,ANXIOUS
74,35,32,NORMAL
107,18,15,ANXIOUS
61,63,53,CALM
56,65,75,CALM
91,47,52,NORMAL
102,11,15,ANXIOUS
79,26,26,STRESSED
66,50,71,CALM
126,11,23,ANXIOUS
84,13,49,NORMAL
72,40,53,NORMAL
98,5,15,ANXIOUS
66,50,81,CALM
98,16,28,ANXIOUS
93,21,22,ANXIOUS
80,28,31,NORMAL
80,37,68,NORMAL
105,31,23,STRESSED
100,44,30,NORMAL
79,30,61,NORMAL
74,43,55,NORMAL
121,17,18,ANXIOUS
82,30,44,STRESSED
93,49,40,NORMAL
94,40,49,STRESSED
107,17,10,ANXIOUS
115,10,15,ANXIOUS
107,22,42,STRESSED
125,17,32,ANXIOUS
105,27,26,STRESSED
97,29,22,STRESSED
95,42,44,NORMAL
110,11,30,ANXIOUS
63,74,78,CALM
52,52,49,CALM
85,38,63,NORMAL
101,35,17,STRESSED
68,36,42,NORMAL
126,20,14,ANXIOUS
76,51,71,CALM
77,40,61,NORMAL
99,13,17,ANXIOUS
83,24,44,NORMAL
123,17,21,ANXIOUS
65,55,40,CALM
83,41,44,NORMAL
102,19,13,ANXIOUS
60,70,68,CALM
101,25,28,STRESSED
85,33,28,STRESSED
88,17,28,STRESSED
98,27,39,STRESSED
81,15,10,ANXIOUS
107,15,14,ANXIOUS
50,46,91,CALM
90,13,20,STRESSED
77,16,80,NORMAL
107,13,11,ANXIOUS
82,31,45,NORMAL
57,67,94,CALM
96,43,31,NORMAL
85,44,29,NORMAL
53,64,52,CALM
87,39,43,NORMAL
82,35,43,NORMAL
85,34,72,NORMAL
73,52,69,NORMAL
65,72,81,CALM
120,13,15,ANXIOUS
96,33,17,STRESSED
68,45,50,NORMAL
94,20,29,STRESSED
101,15,25,ANXIOUS
85,20,20,STRESSED
101,34,22,STRESSED
105,36,22,STRESSED
84,17,29,STRESSED
64,51,43,CALM
109,8,12,ANXIOUS
93,16,22,ANXIOUS
79,47,43,NORMAL
71,32,37,NORMAL
76,18,50,NORMAL
78,58,24,NORMAL
80,17,12,STRESSED
128,13,24,ANXIOUS
98,33,39,STRESSED
83,39,38,NORMAL
90,21,33,STRESSED
92,19,50,STRESSED
51,38,115,CALM
59,45,46,NORMAL
84,30,37,NORMAL
56,64,75,CALM
83,37,27,STRESSED
107,8,21,ANXIOUS
105,33,28,STRESSED
65,59,83,CALM
130,12,30,ANXIOUS
83,31,65,NORMAL
91,34,41,STRESSED
88,34,38,STRESSED
67,45,66,CALM
74,73,36,CALM
94,16,33,NORMAL
118,12,21,ANXIOUS
105,15,30,ANXIOUS
103,26,10,ANXIOUS
82,58,49,NORMAL
98,46,32,NORMAL
71,38,40,NORMAL
60,71,67,CALM
87,15,22,STRESSED
71,66,76,CALM
74,56,87,CALM
76,74,75,CALM
92,47,51,NORMAL
62,41,104,CALM
103,12,27,STRESSED
91,40,43,NORMAL
62,38,80,CALM
56,45,10,NORMAL
